created_at,vendor_name,brand_name,title,sku,handle,inventory_quantity,original_price,discounted_price,category_names,image_links,main_category
27:08.1,Consumer Express Laptops,Samsung,Samsung Galaxy Tab S10 Ultra 12GB 256GB 14.6 inch X920 With Keyboard Cover (Installment),SAM-S10U-CE,samsung-galaxy-tab-s10-ultra-12gb-256gb-146-inch-x920-with-keyboard-cover-installment,100,346399,345399,Mobile Phones & Tablets,https://cdn.comverseglobal.com/alfa/products/product_images/sam-s10u-ce_120525160036984101.jpg,Mobile Phones & Tablets
27:06.9,Consumer Express Laptops,Samsung,Samsung Galaxy Tab S10 Plus 12GB 256GB Wi-Fi X820 With Keyboard Cover (Installment),SAM-S10P-CE,samsung-galaxy-tab-s10-plus-12gb-256gb-wi-fi-x820-with-keyboard-cover-installment,100,286899,285899,Mobile Phones & Tablets,https://cdn.comverseglobal.com/alfa/products/product_images/sam-s10p-ce_120525160124507304.jpg,Mobile Phones & Tablets
27:06.2,Consumer Express Laptops,Samsung,Samsung Galaxy Tab A9 Plus 4GB 64GB (X210) Wifi (Installment),SAM-S9P-CE,samsung-galaxy-tab-a9-plus-4gb-64gb-x210-wifi-installment,100,53399,53399,Mobile Phones & Tablets,https://cdn.comverseglobal.com/alfa/products/product_images/sam-s9p-ce_120525160225418287.jpg,Mobile Phones & Tablets
27:05.5,Consumer Express Laptops,Redmi,"Redmi Watch 5 Buetooth Calling Smartwatch with 2.07"" Amoled Display (Installment)",RD-W5-CE,redmi-watch-5-buetooth-calling-smartwatch-with-207-amoled-display-installment,100,29999,29999,"Mobile Phones & Tablets, Smartwatches",https://cdn.comverseglobal.com/alfa/products/product_images/r-watch5-ce_120525160527023632.jpg,Watches
27:04.6,Consumer Express Laptops,Redmi,Redmi Watch 4 with 1.97-inch AMOLED Display & 20 Days Battery (Installment),RD-W4-CE,redmi-watch-4-with-197-inch-amoled-display-20-days-battery-installment,100,24999,24999,"Mobile Phones & Tablets, Smartwatches",https://cdn.comverseglobal.com/alfa/products/product_images/rd-w4-ce_120525160616514388.jpg,Watches
27:03.7,Consumer Express Laptops,Redmi,Redmi Buds 6 Pro (Installment),RD-BD6PRO-CE,redmi-buds-6-pro-installment,100,21999,19799,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/r-buds6pro-ce_120525161012588468.jpg,Mobile Phones & Tablets
27:02.8,Consumer Express Laptops,Redmi,Redmi Buds 6 (Installment),RD-BUDS6-CE,redmi-buds-6-installment,100,13999,12399,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/r-buds6-ce_120525161305520435.jpg,Mobile Phones & Tablets
27:00.1,Consumer Express Laptops,Realme,"Realme Watch S2 1.43"" AMOLED Display (Installment)",RL-WS2-CE,realme-watch-s2-143-amoled-display-installment,100,22999,22999,"Mobile Phones & Tablets, Smartwatches",https://cdn.comverseglobal.com/alfa/products/product_images/r-ws2-ce_120525161452009336.jpg,Watches
26:59.4,Consumer Express Laptops,Realme,Realme Buds T01 True Wireless Earbuds (Installment),RL-BT01-CE,realme-buds-t01-true-wireless-earbuds-installment,100,9999,9999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/r-bt01-ce_120525161545738483.jpg,Mobile Phones & Tablets
26:58.8,Consumer Express Laptops,Realme,Realme Buds Air 2 (Installment),RL-BA2-CE,realme-buds-air-2-installment,100,13999,13999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/r-ba2-ce_120525161717901810.jpg,Mobile Phones & Tablets
26:58.0,Consumer Express Laptops,Realme,Oraimo Traveler 22.5W PD 20000mAh Power Bank -OPB-7204Q (Installment),OPB-7204Q-CE,oraimo-traveler-225w-pd-20000mah-power-bank-opb-7204q-installment,100,7999,7999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/opb-7204q-ce_120525161929066884.jpg,Mobile Phones & Tablets
26:57.4,Consumer Express Laptops,Realme,Oraimo Toast 22.5W Byte 10000mAh Power Bank -OPB-7100Q (Installment),OPB-7100Q-CE,oraimo-toast-225w-byte-10000mah-power-bank-opb-7100q-installment,100,5999,5999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/opb-7100q-ce_120525162006959138.jpg,Mobile Phones & Tablets
26:56.4,Consumer Express Laptops,Realme,Oraimo SpaceBuds Z True Wireless Earbuds -OTW-625 (Installment),OTW-625-CE,oraimo-spacebuds-z-true-wireless-earbuds-otw-625-installment,100,9999,9999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/otw-625-ce_120525162109370395.jpg,Mobile Phones & Tablets
26:55.4,Consumer Express Laptops,Realme,Oraimo SpaceBuds True Wireless Earbuds -OTW-630 (Installment),OTW-630-CE,oraimo-spacebuds-true-wireless-earbuds-otw-630-installment,100,13999,13999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/otw-630-ce_120525162154523436.jpg,Mobile Phones & Tablets
26:54.4,Consumer Express Laptops,Realme,Oraimo SpaceBuds Neo True Wireless Earbuds -OTW-323 (Installment),OTW-323-CE,oraimo-spacebuds-neo-true-wireless-earbuds-otw-323-installment,100,5999,5999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/otw-323-ce_120525162252683077.jpg,Mobile Phones & Tablets
26:53.4,Consumer Express Laptops,Realme,Oraimo FreePods Neo True Wireless Earbuds -OTW-330S (Installment),OTW-330S-CE,oraimo-freepods-neo-true-wireless-earbuds-otw-330s-installment,100,6999,6999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/otw-330s-ce_120525162331025390.jpg,Mobile Phones & Tablets
